month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
3,2561,144000.00,11685.45,7,24,31,29,1
4,2561,118000.00,11685.45,7,24,32,29,1
5,2561,140000.00,11685.45,7,28,31,29,1
6,2561,152000.00,11685.45,7,26,31,30,0
7,2561,143000.00,11685.45,7,27,30,29,0
8,2561,148000.00,11685.45,7,27,30,29,1
9,2561,150000.00,11685.45,7,27,31,29,1
10,2561,134000.00,11685.45,7,27,31,29,1
11,2561,144000.00,11685.45,7,26,31,29,1
12,2561,134000.00,11685.45,7,26,30,28,1
1,2556,211000.00,46603.04,6,26,30,28,1
2,2556,264000.00,46603.04,6,28,32,30,1
3,2556,253000.00,46603.04,6,24,34,31,0
4,2556,197000.00,46603.04,6,29,34,32,0
5,2556,240000.00,46603.04,6,30,34,32,0
6,2556,244000.00,46603.04,6,28,32,30,1
7,2556,258000.00,46603.04,6,28,32,30,1
8,2556,241000.00,46603.04,6,28,31,30,1
9,2556,297000.00,46603.04,6,24,32,29,1
10,2556,223000.00,46603.04,6,26,31,29,0
11,2556,243000.00,46603.04,6,26,31,30,1
12,2556,213000.00,46603.04,6,21,30,25,1
1,2557,166000.00,46603.04,6,21,28,25,1
2,2557,207000.00,46603.04,6,24,29,28,1
3,2557,265000.00,46603.04,6,27,32,30,1
4,2557,203000.00,46603.04,6,29,33,31,1
5,2557,224000.00,46603.04,6,29,33,31,1
6,2557,221000.00,46603.04,6,28,32,30,0
7,2557,220000.00,46603.04,6,27,32,30,0
8,2557,227000.00,46603.04,6,27,31,29,1
9,2557,270000.00,46603.04,6,28,31,29,1
10,2557,247000.00,46603.04,6,27,29,29,1
11,2557,283000.00,46603.04,6,26,31,29,1
12,2557,250000.00,46603.04,6,24,29,27,1
1,2558,196000.00,46603.04,6,23,29,26,1
2,2558,232000.00,46603.04,6,26,31,28,1
3,2558,284000.00,46603.04,6,27,31,30,1
4,2558,260000.00,46603.04,6,27,33,30,1
5,2558,334000.00,46603.04,6,29,32,31,1
6,2558,233000.00,46603.04,6,29,33,30,0
7,2558,255000.00,46603.04,6,28,32,30,0
8,2558,231000.00,46603.04,6,27,32,30,1
9,2558,297000.00,46603.04,6,26,31,29,1
10,2558,244000.00,46603.04,6,27,30,29,1
11,2558,278000.00,46603.04,6,28,31,29,1
12,2558,267000.00,46603.04,6,24,31,28,1
1,2559,210000.00,46603.04,6,18,31,27,1
2,2559,260000.00,46603.04,6,20,30,28,1
3,2559,272000.00,46603.04,6,27,33,31,1
4,2559,284000.00,46603.04,6,29,34,32,1
5,2559,309000.00,46603.04,6,29,34,32,1
6,2559,231000.00,46603.04,6,27,32,29,0
7,2559,209000.00,46603.04,6,28,31,29,0
8,2559,244000.00,46603.04,6,29,31,30,1
9,2559,284000.00,46603.04,6,27,31,29,1
10,2559,220000.00,46603.04,6,27,30,29,1
11,2559,285000.00,46603.04,6,27,31,29,1
12,2559,217000.00,46603.04,6,24,30,27,1
1,2560,209000.00,46603.04,6,26,29,27,1
2,2560,253000.00,46603.04,6,24,31,28,1
3,2560,261000.00,46603.04,6,27,32,30,1
4,2560,233000.00,46603.04,6,28,33,31,1
5,2560,310000.00,46603.04,6,27,32,30,1
6,2560,310000.00,46603.04,6,28,31,29,0
7,2560,211000.00,46603.04,6,27,31,29,0
8,2560,243000.00,46603.04,6,27,31,29,1
9,2560,265000.00,46603.04,6,28,31,29,1
10,2560,216000.00,46603.04,6,26,31,28,1
11,2560,228000.00,46603.04,6,25,30,28,1
12,2560,228000.00,46603.04,6,20,29,26,1
1,2561,194000.00,46603.04,6,22,30,27,1
2,2561,221000.00,46603.04,6,23,30,27,1
3,2561,308000.00,46603.04,6,24,31,29,1
4,2561,267000.00,46603.04,6,24,32,29,1
5,2561,339000.00,46603.04,6,28,31,29,1
6,2561,275000.00,46603.04,6,26,31,30,0
7,2561,264000.00,46603.04,6,27,30,29,0
8,2561,293000.00,46603.04,6,27,30,29,1
9,2561,312000.00,46603.04,6,27,31,29,1
10,2561,331000.00,46603.04,6,27,31,29,1
11,2561,332000.00,46603.04,6,26,31,29,1
12,2561,306000.00,46603.04,6,26,30,28,1
1,2556,75051.00,7776.12,8,26,30,28,1
2,2556,74900.00,7776.12,8,28,32,30,1
3,2556,66685.00,7776.12,8,24,34,31,0
4,2556,66000.00,7776.12,8,29,34,32,0
5,2556,64198.00,7776.12,8,30,34,32,0
6,2556,61216.00,7776.12,8,28,32,30,1
7,2556,61216.00,7776.12,8,28,32,30,1
8,2556,38713.00,7776.12,8,28,31,30,1
9,2556,54773.00,7776.12,8,24,32,29,1
10,2556,55000.00,7776.12,8,26,31,29,0
11,2556,74773.00,7776.12,8,26,31,30,1
12,2556,40000.00,7776.12,8,21,30,25,1
1,2557,42457.00,7776.12,8,21,28,25,1
2,2557,67061.00,7776.12,8,24,29,28,1
